Index,Original Method File,Original Method,Original Method Time,Original Method Result,Original Result File,Original Error Message,Original Error Message File,New Method File,New Method,New Method Time,New Method Result,New Method Result File,New Method Error Message,New Method Error Message File,Prompt File,Prompt Length,Prompt Index,Prompt name,Error message,Feedback,Try,Number placeholders,Placeholder position,Diff,Url
0,.//results/CountDCComp_fix_891.dfy,CountDCComp,0.886757,Errors,./results_llm/CountDCComp_0.txt,a postcondition could not be proved on this return path,./results_llm/CountDCComp__0_error.txt,./results_llm/CountDCComp_fix_baseline_0_1.dfy,CountDCComp,,,./results_llm/CountDCComp_fix_0.txt,invalid UpdateStmt,./results_llm/CountDCComp_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/def/ext/CountDCComp_fix_891.dfy_0_1_baseline_prompt,202,1,baseline,,False,1,0,424,"countDC([l[0]] + (l[1..] + r)) == countDC(l) + countDC(r)
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Foutput_baseline_cedar-basic.csv&assertions=results%2Fplaceholder_dataset%2Fcedar.csv&method=0
0,.//results/CountDCComp_fix_891.dfy,CountDCComp,0.886757,Errors,./results_llm/CountDCComp_0.txt,a postcondition could not be proved on this return path,./results_llm/CountDCComp__0_error.txt,./results_llm/CountDCComp_fix_baseline_0_2.dfy,CountDCComp,,,./results_llm/CountDCComp_fix_0.txt,invalid UpdateStmt,./results_llm/CountDCComp_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/def/ext/CountDCComp_fix_891.dfy_0_1_baseline_prompt,202,1,baseline,,False,2,0,424,"countDC([l[0]] + (l[1..] + r)) == countDC(l) + countDC(r)
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Foutput_baseline_cedar-basic.csv&assertions=results%2Fplaceholder_dataset%2Fcedar.csv&method=0
0,.//results/CountDCComp_fix_891.dfy,CountDCComp,0.886757,Errors,./results_llm/CountDCComp_0.txt,a postcondition could not be proved on this return path,./results_llm/CountDCComp__0_error.txt,./results_llm/CountDCComp_fix_baseline_0_3.dfy,CountDCComp,,,./results_llm/CountDCComp_fix_0.txt,invalid UpdateStmt,./results_llm/CountDCComp_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/def/ext/CountDCComp_fix_891.dfy_0_1_baseline_prompt,211,1,baseline,,False,3,0,424,"countDC([l[0]] + (l[1..] + r)) == countDC([l[0]]) + countDC(l[1..] + r)
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Foutput_baseline_cedar-basic.csv&assertions=results%2Fplaceholder_dataset%2Fcedar.csv&method=0
0,.//results/CountDCComp_fix_891.dfy,CountDCComp,0.886757,Errors,./results_llm/CountDCComp_0.txt,a postcondition could not be proved on this return path,./results_llm/CountDCComp__0_error.txt,./results_llm/CountDCComp_fix_baseline_0_4.dfy,CountDCComp,,,./results_llm/CountDCComp_fix_0.txt,rbrace expected,./results_llm/CountDCComp_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/def/ext/CountDCComp_fix_891.dfy_0_1_baseline_prompt,193,1,baseline,,False,4,0,424,"forall i :: 0 <= i < |l| ==> l[i] in l
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Foutput_baseline_cedar-basic.csv&assertions=results%2Fplaceholder_dataset%2Fcedar.csv&method=0
0,.//results/CountDCComp_fix_891.dfy,CountDCComp,0.886757,Errors,./results_llm/CountDCComp_0.txt,a postcondition could not be proved on this return path,./results_llm/CountDCComp__0_error.txt,./results_llm/CountDCComp_fix_baseline_0_5.dfy,CountDCComp,,,./results_llm/CountDCComp_fix_0.txt,invalid UpdateStmt,./results_llm/CountDCComp_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/def/ext/CountDCComp_fix_891.dfy_0_1_baseline_prompt,211,1,baseline,,False,5,0,424,"countDC([l[0]] + (l[1..] + r)) == countDC([l[0]]) + countDC(l[1..] + r)
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Foutput_baseline_cedar-basic.csv&assertions=results%2Fplaceholder_dataset%2Fcedar.csv&method=0
0,.//results/CountDCComp_fix_891.dfy,CountDCComp,0.886757,Errors,./results_llm/CountDCComp_0.txt,a postcondition could not be proved on this return path,./results_llm/CountDCComp__0_error.txt,./results_llm/CountDCComp_fix_baseline_0_6.dfy,CountDCComp,,,./results_llm/CountDCComp_fix_0.txt,invalid UpdateStmt,./results_llm/CountDCComp_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/def/ext/CountDCComp_fix_891.dfy_0_1_baseline_prompt,200,1,baseline,,False,6,0,423,"countDC(l + r) == countDC([l[0]] + (l[1..] + r))
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Foutput_baseline_cedar-basic.csv&assertions=results%2Fplaceholder_dataset%2Fcedar.csv&method=0
0,.//results/CountDCComp_fix_891.dfy,CountDCComp,0.886757,Errors,./results_llm/CountDCComp_0.txt,a postcondition could not be proved on this return path,./results_llm/CountDCComp__0_error.txt,./results_llm/CountDCComp_fix_baseline_0_7.dfy,CountDCComp,,,./results_llm/CountDCComp_fix_0.txt,invalid UpdateStmt,./results_llm/CountDCComp_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/def/ext/CountDCComp_fix_891.dfy_0_1_baseline_prompt,202,1,baseline,,False,7,0,424,"countDC([l[0]] + (l[1..] + r)) == countDC(l) + countDC(r)
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Foutput_baseline_cedar-basic.csv&assertions=results%2Fplaceholder_dataset%2Fcedar.csv&method=0
0,.//results/CountDCComp_fix_891.dfy,CountDCComp,0.886757,Errors,./results_llm/CountDCComp_0.txt,a postcondition could not be proved on this return path,./results_llm/CountDCComp__0_error.txt,./results_llm/CountDCComp_fix_baseline_0_8.dfy,CountDCComp,,,./results_llm/CountDCComp_fix_0.txt,invalid UpdateStmt,./results_llm/CountDCComp_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/def/ext/CountDCComp_fix_891.dfy_0_1_baseline_prompt,211,1,baseline,,False,8,0,423,"countDC([l[0]] + (l[1..] + r)) == countDC([l[0]]) + countDC(l[1..] + r)
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Foutput_baseline_cedar-basic.csv&assertions=results%2Fplaceholder_dataset%2Fcedar.csv&method=0
0,.//results/CountDCComp_fix_891.dfy,CountDCComp,0.886757,Errors,./results_llm/CountDCComp_0.txt,a postcondition could not be proved on this return path,./results_llm/CountDCComp__0_error.txt,./results_llm/CountDCComp_fix_baseline_0_9.dfy,CountDCComp,,,./results_llm/CountDCComp_fix_0.txt,invalid UpdateStmt,./results_llm/CountDCComp_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/def/ext/CountDCComp_fix_891.dfy_0_1_baseline_prompt,211,1,baseline,,False,9,0,424,"countDC([l[0]] + (l[1..] + r)) == countDC([l[0]]) + countDC(l[1..] + r)
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Foutput_baseline_cedar-basic.csv&assertions=results%2Fplaceholder_dataset%2Fcedar.csv&method=0
0,.//results/CountDCComp_fix_891.dfy,CountDCComp,0.886757,Errors,./results_llm/CountDCComp_0.txt,a postcondition could not be proved on this return path,./results_llm/CountDCComp__0_error.txt,./results_llm/CountDCComp_fix_baseline_0_10.dfy,CountDCComp,,,./results_llm/CountDCComp_fix_0.txt,invalid UpdateStmt,./results_llm/CountDCComp_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/def/ext/CountDCComp_fix_891.dfy_0_1_baseline_prompt,211,1,baseline,,False,10,0,424,"countDC([l[0]] + (l[1..] + r)) == countDC([l[0]]) + countDC(l[1..] + r)
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Foutput_baseline_cedar-basic.csv&assertions=results%2Fplaceholder_dataset%2Fcedar.csv&method=0
