Index,Original Method File,Original Method,Original Method Time,Original Method Result,Original Result File,Original Error Message,Original Error Message File,New Method File,New Method,New Method Time,New Method Result,New Method Result File,New Method Error Message,New Method Error Message File,Prompt File,Prompt Length,Prompt Index,Prompt name,Error message,Feedback,Try,Number placeholders,Placeholder position,Diff,Url
0,.//results/StrictGetLubRecordType_fix_854.dfy,StrictGetLubRecordType,1.163725,Errors,./results_llm/StrictGetLubRecordType_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType__0_error.txt,./results_llm/StrictGetLubRecordType_fix_dynamic_0_1.dfy,StrictGetLubRecordType,1.452136,Errors,./results_llm/StrictGetLubRecordType_fix_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/StrictGetLubRecordType_fix_854.dfy_0_1_dynamic_prompt,1899,1,dynamic,,False,1,0,167,"assert ets.getLubRecordType(lub, ValidationMode.Permissive).Ok?;
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_cedar%2Foutput_dynamic-r3_cedar_3.csv&assertions=.%2Fresults%2Ftmp_cedar%2Ftesting_cedar_k54_3.csv&method=0
0,.//results/StrictGetLubRecordType_fix_854.dfy,StrictGetLubRecordType,1.163725,Errors,./results_llm/StrictGetLubRecordType_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType__0_error.txt,./results_llm/StrictGetLubRecordType_fix_dynamic_0_2.dfy,StrictGetLubRecordType,,,./results_llm/StrictGetLubRecordType_fix_0.txt,unresolved identifier: TypeOf,./results_llm/StrictGetLubRecordType_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/StrictGetLubRecordType_fix_854.dfy_0_1_dynamic_prompt,1892,1,dynamic,,False,2,0,166,"assert TypeOf(lub) == TypeOf(s);
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_cedar%2Foutput_dynamic-r3_cedar_3.csv&assertions=.%2Fresults%2Ftmp_cedar%2Ftesting_cedar_k54_3.csv&method=0
0,.//results/StrictGetLubRecordType_fix_854.dfy,StrictGetLubRecordType,1.163725,Errors,./results_llm/StrictGetLubRecordType_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType__0_error.txt,./results_llm/StrictGetLubRecordType_fix_dynamic_0_3.dfy,StrictGetLubRecordType,,,./results_llm/StrictGetLubRecordType_fix_0.txt,arguments must have comparable types (got RecordType and Result<RecordType>),./results_llm/StrictGetLubRecordType_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/StrictGetLubRecordType_fix_854.dfy_0_1_dynamic_prompt,1908,1,dynamic,,False,3,0,167,"assert ets.getLubRecordType(lub, ValidationMode.Strict).value == lubRecordTypeSeq(s, ValidationMode.Strict);
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_cedar%2Foutput_dynamic-r3_cedar_3.csv&assertions=.%2Fresults%2Ftmp_cedar%2Ftesting_cedar_k54_3.csv&method=0
0,.//results/StrictGetLubRecordType_fix_854.dfy,StrictGetLubRecordType,1.163725,Errors,./results_llm/StrictGetLubRecordType_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType__0_error.txt,./results_llm/StrictGetLubRecordType_fix_dynamic_0_4.dfy,StrictGetLubRecordType,1.214263,Errors,./results_llm/StrictGetLubRecordType_fix_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/StrictGetLubRecordType_fix_854.dfy_0_1_dynamic_prompt,1904,1,dynamic,,False,4,0,166,"assert forall i :: 0 <= i < |lubSeq| ==> lubSeq[i] in lub.tys;
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_cedar%2Foutput_dynamic-r3_cedar_3.csv&assertions=.%2Fresults%2Ftmp_cedar%2Ftesting_cedar_k54_3.csv&method=0
0,.//results/StrictGetLubRecordType_fix_854.dfy,StrictGetLubRecordType,1.163725,Errors,./results_llm/StrictGetLubRecordType_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType__0_error.txt,./results_llm/StrictGetLubRecordType_fix_dynamic_0_5.dfy,StrictGetLubRecordType,,,./results_llm/StrictGetLubRecordType_fix_0.txt,expected either 'by' or a semicolon following the assert expression,./results_llm/StrictGetLubRecordType_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/StrictGetLubRecordType_fix_854.dfy_0_1_dynamic_prompt,1891,1,dynamic,,False,5,0,170,"assert def.util.EntityTypeLeqIsTotalOrder()
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_cedar%2Foutput_dynamic-r3_cedar_3.csv&assertions=.%2Fresults%2Ftmp_cedar%2Ftesting_cedar_k54_3.csv&method=0
0,.//results/StrictGetLubRecordType_fix_854.dfy,StrictGetLubRecordType,1.163725,Errors,./results_llm/StrictGetLubRecordType_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType__0_error.txt,./results_llm/StrictGetLubRecordType_fix_dynamic_0_6.dfy,StrictGetLubRecordType,,,./results_llm/StrictGetLubRecordType_fix_0.txt,expected either 'by' or a semicolon following the assert expression,./results_llm/StrictGetLubRecordType_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/StrictGetLubRecordType_fix_854.dfy_0_1_dynamic_prompt,1893,1,dynamic,,False,6,0,167,"assert lubRecordTypeSeq(s, ValidationMode.Strict).Ok?
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_cedar%2Foutput_dynamic-r3_cedar_3.csv&assertions=.%2Fresults%2Ftmp_cedar%2Ftesting_cedar_k54_3.csv&method=0
0,.//results/StrictGetLubRecordType_fix_854.dfy,StrictGetLubRecordType,1.163725,Errors,./results_llm/StrictGetLubRecordType_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType__0_error.txt,./results_llm/StrictGetLubRecordType_fix_dynamic_0_7.dfy,StrictGetLubRecordType,1.516643,Errors,./results_llm/StrictGetLubRecordType_fix_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/StrictGetLubRecordType_fix_854.dfy_0_1_dynamic_prompt,1899,1,dynamic,,False,7,0,167,"assert ets.getLubRecordType(lub, ValidationMode.Permissive).Ok?;
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_cedar%2Foutput_dynamic-r3_cedar_3.csv&assertions=.%2Fresults%2Ftmp_cedar%2Ftesting_cedar_k54_3.csv&method=0
0,.//results/StrictGetLubRecordType_fix_854.dfy,StrictGetLubRecordType,1.163725,Errors,./results_llm/StrictGetLubRecordType_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType__0_error.txt,./results_llm/StrictGetLubRecordType_fix_dynamic_0_8.dfy,StrictGetLubRecordType,1.265391,Errors,./results_llm/StrictGetLubRecordType_fix_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/StrictGetLubRecordType_fix_854.dfy_0_1_dynamic_prompt,1894,1,dynamic,,False,8,0,167,"assert lubRecordTypeSeq(s, ValidationMode.Strict).Ok?;
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_cedar%2Foutput_dynamic-r3_cedar_3.csv&assertions=.%2Fresults%2Ftmp_cedar%2Ftesting_cedar_k54_3.csv&method=0
0,.//results/StrictGetLubRecordType_fix_854.dfy,StrictGetLubRecordType,1.163725,Errors,./results_llm/StrictGetLubRecordType_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType__0_error.txt,./results_llm/StrictGetLubRecordType_fix_dynamic_0_9.dfy,StrictGetLubRecordType,,,./results_llm/StrictGetLubRecordType_fix_0.txt,expected either 'by' or a semicolon following the assert expression,./results_llm/StrictGetLubRecordType_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/StrictGetLubRecordType_fix_854.dfy_0_1_dynamic_prompt,1893,1,dynamic,,False,9,0,167,"assert lubRecordTypeSeq(s, ValidationMode.Strict).Ok?
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_cedar%2Foutput_dynamic-r3_cedar_3.csv&assertions=.%2Fresults%2Ftmp_cedar%2Ftesting_cedar_k54_3.csv&method=0
0,.//results/StrictGetLubRecordType_fix_854.dfy,StrictGetLubRecordType,1.163725,Errors,./results_llm/StrictGetLubRecordType_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType__0_error.txt,./results_llm/StrictGetLubRecordType_fix_dynamic_0_10.dfy,StrictGetLubRecordType,1.266363,Errors,./results_llm/StrictGetLubRecordType_fix_0.txt,a postcondition could not be proved on this return path,./results_llm/StrictGetLubRecordType_fix_0_error.txt,/usr/local/home/eric/dafny_repos/cedar-spec/cedar-dafny/validation/thm/StrictGetLubRecordType_fix_854.dfy_0_1_dynamic_prompt,1894,1,dynamic,,False,10,0,167,"assert lubRecordTypeSeq(s, ValidationMode.Strict).Ok?;
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_cedar%2Foutput_dynamic-r3_cedar_3.csv&assertions=.%2Fresults%2Ftmp_cedar%2Ftesting_cedar_k54_3.csv&method=0
