Index,Original Method File,Original Method,Original Method Time,Original Method Result,Original Result File,Original Error Message,Original Error Message File,New Method File,New Method,New Method Time,New Method Result,New Method Result File,New Method Error Message,New Method Error Message File,Prompt File,Prompt Length,Prompt Index,Prompt name,Error message,Feedback,Try,Number placeholders,Placeholder position,Diff,Url
0,.//results/LimitIsUnique_fix_16.dfy,LimitIsUnique,10.261094,Errors,./results_llm/LimitIsUnique_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique__0_error.txt,./results_llm/LimitIsUnique_fix_TFIDFPlaceholder_0_1.dfy,LimitIsUnique,,,./results_llm/LimitIsUnique_fix_0.txt,arguments to > must have a common supertype (got real and int),./results_llm/LimitIsUnique_fix_0_error.txt,/usr/local/home/eric/dafny_repos/Dafny-VMC/src/Math/Analysis/LimitIsUnique_fix_16.dfy_0_1_TFIDFPlaceholder_prompt,2998,1,TFIDFPlaceholder,,False,1,1,1,"assert RealArith.Dist(limit1, limit2) > 0;
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_dafnyVMC%2Foutput_TFIDFPlaceholder-r3_dafnyVMC_8.csv&assertions=.%2Fresults%2Ftmp_dafnyVMC%2Ftesting_dafnyVMC_k33_8.csv&method=0
0,.//results/LimitIsUnique_fix_16.dfy,LimitIsUnique,10.261094,Errors,./results_llm/LimitIsUnique_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique__0_error.txt,./results_llm/LimitIsUnique_fix_TFIDFPlaceholder_0_2.dfy,LimitIsUnique,10.568164,Errors,./results_llm/LimitIsUnique_fix_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique_fix_0_error.txt,/usr/local/home/eric/dafny_repos/Dafny-VMC/src/Math/Analysis/LimitIsUnique_fix_16.dfy_0_1_TFIDFPlaceholder_prompt,3000,1,TFIDFPlaceholder,,False,2,1,1,"assert RealArith.Dist(limit1, limit2) > 0.0;
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_dafnyVMC%2Foutput_TFIDFPlaceholder-r3_dafnyVMC_8.csv&assertions=.%2Fresults%2Ftmp_dafnyVMC%2Ftesting_dafnyVMC_k33_8.csv&method=0
0,.//results/LimitIsUnique_fix_16.dfy,LimitIsUnique,10.261094,Errors,./results_llm/LimitIsUnique_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique__0_error.txt,./results_llm/LimitIsUnique_fix_TFIDFPlaceholder_0_3.dfy,LimitIsUnique,,,./results_llm/LimitIsUnique_fix_0.txt,arguments to > must have a common supertype (got real and int),./results_llm/LimitIsUnique_fix_0_error.txt,/usr/local/home/eric/dafny_repos/Dafny-VMC/src/Math/Analysis/LimitIsUnique_fix_16.dfy_0_1_TFIDFPlaceholder_prompt,3003,1,TFIDFPlaceholder,,False,3,1,1,"assert epsilon > 0 && RealArith.Dist(limit1, limit2) > 0;
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_dafnyVMC%2Foutput_TFIDFPlaceholder-r3_dafnyVMC_8.csv&assertions=.%2Fresults%2Ftmp_dafnyVMC%2Ftesting_dafnyVMC_k33_8.csv&method=0
0,.//results/LimitIsUnique_fix_16.dfy,LimitIsUnique,10.261094,Errors,./results_llm/LimitIsUnique_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique__0_error.txt,./results_llm/LimitIsUnique_fix_TFIDFPlaceholder_0_4.dfy,LimitIsUnique,10.369997,Errors,./results_llm/LimitIsUnique_fix_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique_fix_0_error.txt,/usr/local/home/eric/dafny_repos/Dafny-VMC/src/Math/Analysis/LimitIsUnique_fix_16.dfy_0_1_TFIDFPlaceholder_prompt,3000,1,TFIDFPlaceholder,,False,4,1,1,"assert RealArith.Dist(limit1, limit2) > 0.0;
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_dafnyVMC%2Foutput_TFIDFPlaceholder-r3_dafnyVMC_8.csv&assertions=.%2Fresults%2Ftmp_dafnyVMC%2Ftesting_dafnyVMC_k33_8.csv&method=0
0,.//results/LimitIsUnique_fix_16.dfy,LimitIsUnique,10.261094,Errors,./results_llm/LimitIsUnique_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique__0_error.txt,./results_llm/LimitIsUnique_fix_TFIDFPlaceholder_0_5.dfy,LimitIsUnique,,,./results_llm/LimitIsUnique_fix_0.txt,arguments to > must have a common supertype (got real and int),./results_llm/LimitIsUnique_fix_0_error.txt,/usr/local/home/eric/dafny_repos/Dafny-VMC/src/Math/Analysis/LimitIsUnique_fix_16.dfy_0_1_TFIDFPlaceholder_prompt,2988,1,TFIDFPlaceholder,,False,5,1,1,"assert epsilon > 0;
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_dafnyVMC%2Foutput_TFIDFPlaceholder-r3_dafnyVMC_8.csv&assertions=.%2Fresults%2Ftmp_dafnyVMC%2Ftesting_dafnyVMC_k33_8.csv&method=0
0,.//results/LimitIsUnique_fix_16.dfy,LimitIsUnique,10.261094,Errors,./results_llm/LimitIsUnique_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique__0_error.txt,./results_llm/LimitIsUnique_fix_TFIDFPlaceholder_0_6.dfy,LimitIsUnique,9.928388,Errors,./results_llm/LimitIsUnique_fix_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique_fix_0_error.txt,/usr/local/home/eric/dafny_repos/Dafny-VMC/src/Math/Analysis/LimitIsUnique_fix_16.dfy_0_1_TFIDFPlaceholder_prompt,3000,1,TFIDFPlaceholder,,False,6,1,1,"assert RealArith.Dist(limit1, limit2) > 0.0;
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_dafnyVMC%2Foutput_TFIDFPlaceholder-r3_dafnyVMC_8.csv&assertions=.%2Fresults%2Ftmp_dafnyVMC%2Ftesting_dafnyVMC_k33_8.csv&method=0
0,.//results/LimitIsUnique_fix_16.dfy,LimitIsUnique,10.261094,Errors,./results_llm/LimitIsUnique_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique__0_error.txt,./results_llm/LimitIsUnique_fix_TFIDFPlaceholder_0_7.dfy,LimitIsUnique,9.673911,Errors,./results_llm/LimitIsUnique_fix_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique_fix_0_error.txt,/usr/local/home/eric/dafny_repos/Dafny-VMC/src/Math/Analysis/LimitIsUnique_fix_16.dfy_0_1_TFIDFPlaceholder_prompt,3000,1,TFIDFPlaceholder,,False,7,1,1,"assert RealArith.Dist(limit1, limit2) > 0.0;
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_dafnyVMC%2Foutput_TFIDFPlaceholder-r3_dafnyVMC_8.csv&assertions=.%2Fresults%2Ftmp_dafnyVMC%2Ftesting_dafnyVMC_k33_8.csv&method=0
0,.//results/LimitIsUnique_fix_16.dfy,LimitIsUnique,10.261094,Errors,./results_llm/LimitIsUnique_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique__0_error.txt,./results_llm/LimitIsUnique_fix_TFIDFPlaceholder_0_8.dfy,LimitIsUnique,10.300234,Errors,./results_llm/LimitIsUnique_fix_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique_fix_0_error.txt,/usr/local/home/eric/dafny_repos/Dafny-VMC/src/Math/Analysis/LimitIsUnique_fix_16.dfy_0_1_TFIDFPlaceholder_prompt,2990,1,TFIDFPlaceholder,,False,8,1,1,"assert epsilon > 0.0;
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_dafnyVMC%2Foutput_TFIDFPlaceholder-r3_dafnyVMC_8.csv&assertions=.%2Fresults%2Ftmp_dafnyVMC%2Ftesting_dafnyVMC_k33_8.csv&method=0
0,.//results/LimitIsUnique_fix_16.dfy,LimitIsUnique,10.261094,Errors,./results_llm/LimitIsUnique_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique__0_error.txt,./results_llm/LimitIsUnique_fix_TFIDFPlaceholder_0_9.dfy,LimitIsUnique,9.656022,Errors,./results_llm/LimitIsUnique_fix_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique_fix_0_error.txt,/usr/local/home/eric/dafny_repos/Dafny-VMC/src/Math/Analysis/LimitIsUnique_fix_16.dfy_0_1_TFIDFPlaceholder_prompt,2990,1,TFIDFPlaceholder,,False,9,1,1,"assert epsilon > 0.0;
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_dafnyVMC%2Foutput_TFIDFPlaceholder-r3_dafnyVMC_8.csv&assertions=.%2Fresults%2Ftmp_dafnyVMC%2Ftesting_dafnyVMC_k33_8.csv&method=0
0,.//results/LimitIsUnique_fix_16.dfy,LimitIsUnique,10.261094,Errors,./results_llm/LimitIsUnique_0.txt,cannot establish the existence of LHS values that satisfy the such-that predicate,./results_llm/LimitIsUnique__0_error.txt,./results_llm/LimitIsUnique_fix_TFIDFPlaceholder_0_10.dfy,LimitIsUnique,7.901274,Correct,./results_llm/LimitIsUnique_fix_0.txt,,,/usr/local/home/eric/dafny_repos/Dafny-VMC/src/Math/Analysis/LimitIsUnique_fix_16.dfy_0_1_TFIDFPlaceholder_prompt,2994,1,TFIDFPlaceholder,,False,10,1,1,"assert ExistsCloseSuffix(sequence, limit1, epsilon);
",http://c10-10.sysnet.ucsd.edu:8866/?results=.%2Fresults_llm%2Ftmp_dafnyVMC%2Foutput_TFIDFPlaceholder-r3_dafnyVMC_8.csv&assertions=.%2Fresults%2Ftmp_dafnyVMC%2Ftesting_dafnyVMC_k33_8.csv&method=0
